"input_number","radius","time_getblocksnearby","time_doaggregate","time_batch_summarize","nrows_blocks","nrows_results_bysite","time_ejamit"
15080,2,48.5249999999996,0,0,6513156,0,0
26560,4,94.8469999999998,0,0,37183373,0,0
13737,2,41.5680000000011,36.7350000000006,0.591000000000349,5967795,13713,84.0319999999992
14532,14,104.481000000002,413.203,0.516999999999825,154631773,14529,481.223
28743,14,195.322,804.084000000001,0.972999999999956,311635467,28721,987.613000000001
7414,13,45.7289999999994,193.865999999998,0.278000000002066,71163283,7410,216.638999999999
18429,12,100.023000000001,406.266,0.663000000000466,155876701,18418,508.280999999999
25072,3,82.349000000002,0,0,22055080,0,0
989,13,6.08599999999933,29.773000000001,0.0560000000004948,9887102,988,36.5390000000007
10049,15,65.875,318.147000000001,0.36699999999837,122637625,10047,366.257999999998
26547,7,110.373,282.875,0.924999999999272,95000333,26535,374.415000000001
27694,13,177.762999999999,0,0,266995653,0,0
243,4,0.775999999998021,2.36899999999878,0.0280000000020664,377800,243,5.83299999999872
24261,8,106.525999999998,317.934000000001,0.881000000001222,107637530,24246,408.139999999999
9454,1,27.726999999999,13.9259999999995,0.333000000002357,1223795,9370,48.8939999999966
8663,15,53.4409999999989,253.136000000002,0.312000000001717,102654204,8663,304.931999999997
24568,15,179.889999999999,766.450000000001,0.884000000001834,298224484,24558,896.036
7603,10,36.1670000000013,138.758000000002,0.269000000000233,48909209,7600,167.575000000001
26618,7,110.804,285.421000000002,0.953000000001339,96066386,26600,390.308000000001
29095,15,207.696,901.691999999999,1.01900000000023,350628095,29082,1052.076
6417,3,20.4859999999971,25.0649999999987,0.24199999999837,5412774,6414,48.6739999999991
21088,12,120.245999999999,0,0,178528708,0,0
2009,9,9.52600000000166,36.2409999999982,0.0869999999995343,11664479,2009,46.1929999999993
27131,3,89.3820000000014,0,0,23733146,0,0
1013,6,3.77199999999721,11.9479999999967,0.0709999999999127,2925874,1012,17.3169999999991
28468,7,132.468000000001,320.084999999999,1.01299999999901,102279779,28454,421.638999999999
4296,7,18.0550000000003,48.9039999999986,0.162000000000262,15330329,4293,64.6839999999975
1325,3,3.80900000000111,6.46099999999933,0.0659999999988941,1143191,1323,13.0970000000016
2714,6,10.2949999999983,27.8989999999976,0.109000000000378,7767378,2713,39.0430000000015
14943,15,115.900999999998,459.909,0.534999999999854,179004599,14935,0
13563,8,57.2439999999988,0,0,60807078,0,0
24064,10,125.600000000002,0,0,152234956,0,0
24957,10,127.306999999997,444.864999999998,0.909999999999854,160043558,24946,550.468000000001
21774,11,119.336000000003,444.012999999999,0.763999999995576,162754748,21756,530.553999999996
25998,7,107.217000000004,283.873,0.927999999999884,93915721,25985,374.192000000003
29330,9,138.839,0,0,159052320,0,0
21582,4,73.1820000000007,114.907999999996,0.778000000005704,30831432,21562,186.639999999999
18302,3,57.9820000000036,70.0390000000043,0.661000000000058,16017790,18292,131.397000000004
13549,14,93.1960000000036,370.187000000005,0.479000000006636,146771793,13547,446.830999999998
17231,4,58.7739999999976,91.7289999999994,0.604999999995925,24309031,17220,146.386000000006
17381,7,70.0400000000009,180.740999999995,0.625,61690989,17371,244.056000000004
25716,14,170.455000000002,719.534,0.889999999999418,278151520,25703,841.057999999997
18120,5,63.4759999999951,125.296000000002,0.63300000000163,37103525,18112,189.737999999998
11950,10,56.2580000000016,209.720000000001,0.421999999998661,76396845,11946,249.531000000003
11187,12,60.7949999999983,256.302000000003,0.394000000000233,95721391,11178,306.764999999999
15121,14,94.6180000000022,415.305,0.533000000003085,161993727,15116,476.317999999999
19364,14,122.979999999996,531.692000000003,0.688000000001921,210034149,19349,648.368999999999
5707,4,18.2449999999953,31.2350000000006,0.210999999995693,8034737,5706,51.5550000000003
17736,10,82.2439999999988,319.536999999997,0.673000000002503,113382606,17734,392.000999999997
2275,13,12.6059999999998,58.9650000000038,0.0940000000045984,21959394,2272,70.6800000000003
